name,price,size,area,url,monthly_fee,date_sold
Åsögatan 92,3 600 000 kr,"34 m², 2 rum","Lägenhet, Södermalm",https://www.booli.se/annons/4690162,2 021 kr/mån,2022-08-23
Sigtuna­gatan 14A,3 550 000 kr,"34 m², 1 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4723065,1 264 kr/mån,2022-08-23
Mose­backe Torg 14,4 850 000 kr,"52 m², 2 rum","Lägenhet, Katarina",https://www.booli.se/annons/4725315,2 847 kr/mån,2022-08-19
Hälsinge­höjden 11,8 300 000 kr,"61 m², 2 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4732478,2 359 kr/mån,2022-08-23
Völunds­gatan 12,7 665 000 kr,"73 m², 3 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4727326,1 811 kr/mån,2022-08-23
Inedals­gatan 1,6 700 000 kr,"71 m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4660173,2 379 kr/mån,2022-08-23
Primus­gatan 54,5 900 000 kr,"87 m², 3 rum","Lägenhet, Essingeöarna",https://www.booli.se/annons/4723093,4 678 kr/mån,2022-08-23
Spånga­vägen 316,6 300 000 kr,"162 m², 6 rum","Villa, Flysta",https://www.booli.se/annons/4649513,N/A,2022-08-23
Harpsunds­vägen 143,2 000 000 kr,"28½ m², 1 rum","Lägenhet, Brf Högdalen",https://www.booli.se/bostad/490145,1 926 kr/mån,15
Olof Palmes gata 12,4 375 000 kr,"39 m², 1½ rum","Lägenhet, Centrum",https://www.booli.se/bostad/344896,1 877 kr/mån,2022-08-24
Geijers­vägen 17,3 350 000 kr,"47 m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4732456,2 243 kr/mån,2022-08-24
Vedevåg­slingan 32,2 605 000 kr,"86½ m², 4 rum","Lägenhet, Hagsätra",https://www.booli.se/annons/4694552,4 865 kr/mån,2022-08-24
Register­vägen 32,2 900 000 kr,"55 m², 2 rum","Lägenhet, Abrahamsberg",https://www.booli.se/annons/4708941,3 003 kr/mån,2022-08-24
Anders Reimers väg 11,4 880 000 kr,"52 m², 2 rum","Lägenhet, Reimersholme",https://www.booli.se/annons/4704577,3 523 kr/mån,2022-08-24
Birger Jarls­gatan 104M,5 300 000 kr,"50 m², 2 rum","Lägenhet, Östermalm",https://www.booli.se/annons/4423283,3 612 kr/mån,2022-08-24
Brahe­gatan 43,7 850 000 kr,"67 m², 3 rum","Lägenhet, Garageplats",https://www.booli.se/annons/4741083,3 332 kr/mån,2022-08-22
Svarvar­gatan 7,8 375 000 kr,"93 m², 3 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4741034,4 944 kr/mån,2022-08-23
Heleneborgs­gatan 24,2 650 000 kr,"21 m², 1 rum","Lägenhet, Södermalm",https://www.booli.se/annons/4733984,933 kr/mån,2022-08-23
Svea­vägen 97,7 900 000 kr,"65 m², 2 rum","Lägenhet, Vasastan",https://www.booli.se/annons/4712663,4 m²,2022-08-23
